,Anchor,Positive,Negative
12,/root/Unzipped/wav/id10099/id10099_9_0.wav,/root/Unzipped/wav/id10099/id10099_9_0_0.wav,/root/Unzipped/wav/id10339/id10339_18_0.wav
13,/root/Unzipped/wav/id10099/id10099_56_0_0.wav,/root/Unzipped/wav/id10099/id10099_38_0_0.wav,/root/Unzipped/wav/id10132/id10132_64_0.wav
14,/root/Unzipped/wav/id10099/id10099_47_0_0.wav,/root/Unzipped/wav/id10099/id10099_23_0_0.wav,/root/Unzipped/wav/id10422/id10422_65_0_0.wav
15,/root/Unzipped/wav/id10099/id10099_55_0_0.wav,/root/Unzipped/wav/id10099/id10099_51_0_0.wav,/root/Unzipped/wav/id11088/id11088_51_1.wav
16,/root/Unzipped/wav/id10099/id10099_40_0_0.wav,/root/Unzipped/wav/id10099/id10099_56_0_0.wav,/root/Unzipped/wav/id10195/id10195_26_2_0.wav
17,/root/Unzipped/wav/id10099/id10099_23_1_0.wav,/root/Unzipped/wav/id10099/id10099_41_0.wav,/root/Unzipped/wav/id10539/id10539_6_1_0.wav
18,/root/Unzipped/wav/id10099/id10099_56_1.wav,/root/Unzipped/wav/id10099/id10099_3_2.wav,/root/Unzipped/wav/id10334/id10334_68_1.wav
19,/root/Unzipped/wav/id10099/id10099_38_0.wav,/root/Unzipped/wav/id10099/id10099_28_1_0.wav,/root/Unzipped/wav/id10551/id10551_44_0_0.wav
20,/root/Unzipped/wav/id10099/id10099_25_0_0.wav,/root/Unzipped/wav/id10099/id10099_36_1.wav,/root/Unzipped/wav/id10083/id10083_193_1_0.wav
21,/root/Unzipped/wav/id10099/id10099_31_0.wav,/root/Unzipped/wav/id10099/id10099_25_0_0.wav,/root/Unzipped/wav/id10878/id10878_68_1.wav
22,/root/Unzipped/wav/id10099/id10099_43_0_0.wav,/root/Unzipped/wav/id10099/id10099_49_0.wav,/root/Unzipped/wav/id10211/id10211_76_1.wav
23,/root/Unzipped/wav/id10099/id10099_41_0.wav,/root/Unzipped/wav/id10099/id10099_0_0_0.wav,/root/Unzipped/wav/id10767/id10767_96_8_0_0_0.wav
24,/root/Unzipped/wav/id10099/id10099_16_2_0.wav,/root/Unzipped/wav/id10099/id10099_39_2_0.wav,/root/Unzipped/wav/id10182/id10182_98_3_0_0_0.wav
25,/root/Unzipped/wav/id10099/id10099_24_0.wav,/root/Unzipped/wav/id10099/id10099_53_1.wav,/root/Unzipped/wav/id10049/id10049_43_0.wav
26,/root/Unzipped/wav/id10099/id10099_25_0.wav,/root/Unzipped/wav/id10099/id10099_49_0.wav,/root/Unzipped/wav/id10072/id10072_72_3.wav
27,/root/Unzipped/wav/id10099/id10099_18_0.wav,/root/Unzipped/wav/id10099/id10099_10_0_0.wav,/root/Unzipped/wav/id10352/id10352_7_1.wav
28,/root/Unzipped/wav/id10099/id10099_2_0.wav,/root/Unzipped/wav/id10099/id10099_42_0_0.wav,/root/Unzipped/wav/id10195/id10195_26_4_0.wav
29,/root/Unzipped/wav/id10099/id10099_0_0.wav,/root/Unzipped/wav/id10099/id10099_51_0_0.wav,/root/Unzipped/wav/id10083/id10083_227_1_0.wav
30,/root/Unzipped/wav/id10099/id10099_2_0_0.wav,/root/Unzipped/wav/id10099/id10099_27_1.wav,/root/Unzipped/wav/id10049/id10049_22_1.wav
31,/root/Unzipped/wav/id10099/id10099_51_0.wav,/root/Unzipped/wav/id10099/id10099_20_0_0.wav,/root/Unzipped/wav/id10438/id10438_39_0_0.wav
32,/root/Unzipped/wav/id10099/id10099_3_2.wav,/root/Unzipped/wav/id10099/id10099_14_0.wav,/root/Unzipped/wav/id10220/id10220_126_1_0_0_0.wav
33,/root/Unzipped/wav/id10099/id10099_27_0.wav,/root/Unzipped/wav/id10099/id10099_38_0_0.wav,/root/Unzipped/wav/id10865/id10865_37_1.wav
34,/root/Unzipped/wav/id10099/id10099_35_0.wav,/root/Unzipped/wav/id10099/id10099_44_0_0.wav,/root/Unzipped/wav/id11034/id11034_45_2_0.wav
35,/root/Unzipped/wav/id10099/id10099_3_0.wav,/root/Unzipped/wav/id10099/id10099_27_0.wav,/root/Unzipped/wav/id10551/id10551_4_4_0.wav
36,/root/Unzipped/wav/id10099/id10099_46_2.wav,/root/Unzipped/wav/id10099/id10099_39_0.wav,/root/Unzipped/wav/id10988/id10988_91_1_0.wav
37,/root/Unzipped/wav/id10099/id10099_20_0.wav,/root/Unzipped/wav/id10099/id10099_26_0.wav,/root/Unzipped/wav/id10334/id10334_20_0.wav
38,/root/Unzipped/wav/id10099/id10099_16_0.wav,/root/Unzipped/wav/id10099/id10099_8_0_0.wav,/root/Unzipped/wav/id10347/id10347_26_0_0.wav
39,/root/Unzipped/wav/id10099/id10099_16_1.wav,/root/Unzipped/wav/id10099/id10099_32_0.wav,/root/Unzipped/wav/id10352/id10352_166_0.wav
40,/root/Unzipped/wav/id10099/id10099_1_1.wav,/root/Unzipped/wav/id10099/id10099_3_2.wav,/root/Unzipped/wav/id11088/id11088_24_0.wav
41,/root/Unzipped/wav/id10099/id10099_30_1.wav,/root/Unzipped/wav/id10099/id10099_11_0_0.wav,/root/Unzipped/wav/id10347/id10347_84_2_0.wav
42,/root/Unzipped/wav/id10099/id10099_12_0.wav,/root/Unzipped/wav/id10099/id10099_5_0_0.wav,/root/Unzipped/wav/id10170/id10170_48_0.wav
43,/root/Unzipped/wav/id10099/id10099_50_0_0.wav,/root/Unzipped/wav/id10099/id10099_41_0_0.wav,/root/Unzipped/wav/id10087/id10087_51_0.wav
44,/root/Unzipped/wav/id10099/id10099_39_2_0.wav,/root/Unzipped/wav/id10099/id10099_56_1.wav,/root/Unzipped/wav/id11243/id11243_80_3.wav
45,/root/Unzipped/wav/id10099/id10099_52_0.wav,/root/Unzipped/wav/id10099/id10099_14_0_0.wav,/root/Unzipped/wav/id10116/id10116_55_1.wav
46,/root/Unzipped/wav/id10099/id10099_14_0.wav,/root/Unzipped/wav/id10099/id10099_46_1.wav,/root/Unzipped/wav/id11228/id11228_101_2.wav
47,/root/Unzipped/wav/id10099/id10099_10_0_0.wav,/root/Unzipped/wav/id10099/id10099_32_1_0.wav,/root/Unzipped/wav/id11005/id11005_31_2_0.wav
48,/root/Unzipped/wav/id10099/id10099_48_0.wav,/root/Unzipped/wav/id10099/id10099_57_0_0.wav,/root/Unzipped/wav/id10019/id10019_40_0.wav
49,/root/Unzipped/wav/id10099/id10099_33_0.wav,/root/Unzipped/wav/id10099/id10099_49_0_0.wav,/root/Unzipped/wav/id11088/id11088_214_2.wav
50,/root/Unzipped/wav/id10099/id10099_42_1.wav,/root/Unzipped/wav/id10099/id10099_21_0_0.wav,/root/Unzipped/wav/id11077/id11077_202_2.wav
51,/root/Unzipped/wav/id10099/id10099_37_0.wav,/root/Unzipped/wav/id10099/id10099_14_0_0.wav,/root/Unzipped/wav/id10524/id10524_54_2.wav
52,/root/Unzipped/wav/id10099/id10099_46_0_0.wav,/root/Unzipped/wav/id10099/id10099_28_0.wav,/root/Unzipped/wav/id10179/id10179_23_0_0.wav
53,/root/Unzipped/wav/id10099/id10099_1_1_0.wav,/root/Unzipped/wav/id10099/id10099_46_0.wav,/root/Unzipped/wav/id10422/id10422_4_0_0.wav
54,/root/Unzipped/wav/id10099/id10099_32_0.wav,/root/Unzipped/wav/id10099/id10099_46_0_0.wav,/root/Unzipped/wav/id10083/id10083_186_1_0.wav
55,/root/Unzipped/wav/id10099/id10099_3_2_0.wav,/root/Unzipped/wav/id10099/id10099_49_0.wav,/root/Unzipped/wav/id11243/id11243_101_1.wav
56,/root/Unzipped/wav/id10099/id10099_9_1_0.wav,/root/Unzipped/wav/id10099/id10099_10_0.wav,/root/Unzipped/wav/id10072/id10072_76_2.wav
57,/root/Unzipped/wav/id10099/id10099_11_0.wav,/root/Unzipped/wav/id10099/id10099_43_1.wav,/root/Unzipped/wav/id10289/id10289_68_0.wav
58,/root/Unzipped/wav/id10099/id10099_12_0_0.wav,/root/Unzipped/wav/id10099/id10099_42_1_0.wav,/root/Unzipped/wav/id10170/id10170_132_0.wav
59,/root/Unzipped/wav/id10099/id10099_49_0.wav,/root/Unzipped/wav/id10099/id10099_8_0.wav,/root/Unzipped/wav/id10069/id10069_43_1.wav
60,/root/Unzipped/wav/id10099/id10099_3_1_0.wav,/root/Unzipped/wav/id10099/id10099_58_0.wav,/root/Unzipped/wav/id10347/id10347_21_8_0.wav
61,/root/Unzipped/wav/id10099/id10099_1_0.wav,/root/Unzipped/wav/id10099/id10099_53_1.wav,/root/Unzipped/wav/id10195/id10195_14_4_0.wav
62,/root/Unzipped/wav/id10099/id10099_25_1_0.wav,/root/Unzipped/wav/id10099/id10099_33_0.wav,/root/Unzipped/wav/id10289/id10289_80_2.wav
63,/root/Unzipped/wav/id10099/id10099_27_1_0.wav,/root/Unzipped/wav/id10099/id10099_56_1_0.wav,/root/Unzipped/wav/id10437/id10437_97_2.wav
64,/root/Unzipped/wav/id10099/id10099_22_0_0.wav,/root/Unzipped/wav/id10099/id10099_29_0_0.wav,/root/Unzipped/wav/id10132/id10132_11_0.wav
65,/root/Unzipped/wav/id10099/id10099_21_0_0.wav,/root/Unzipped/wav/id10099/id10099_55_0.wav,/root/Unzipped/wav/id10072/id10072_33_2.wav
66,/root/Unzipped/wav/id10099/id10099_28_1_0.wav,/root/Unzipped/wav/id10099/id10099_15_0_0.wav,/root/Unzipped/wav/id10347/id10347_52_5_0.wav
67,/root/Unzipped/wav/id10099/id10099_44_0.wav,/root/Unzipped/wav/id10099/id10099_27_0_0.wav,/root/Unzipped/wav/id10049/id10049_51_1.wav
68,/root/Unzipped/wav/id10099/id10099_49_1_0.wav,/root/Unzipped/wav/id10099/id10099_22_0.wav,/root/Unzipped/wav/id10083/id10083_100_1_0.wav
69,/root/Unzipped/wav/id10099/id10099_42_1_0.wav,/root/Unzipped/wav/id10099/id10099_9_1.wav,/root/Unzipped/wav/id10988/id10988_104_2_0.wav
70,/root/Unzipped/wav/id10099/id10099_25_1.wav,/root/Unzipped/wav/id10099/id10099_16_1.wav,/root/Unzipped/wav/id10170/id10170_2_0.wav
71,/root/Unzipped/wav/id10099/id10099_57_0_0.wav,/root/Unzipped/wav/id10099/id10099_56_1_0.wav,/root/Unzipped/wav/id10324/id10324_50_0.wav
72,/root/Unzipped/wav/id10099/id10099_6_0_0.wav,/root/Unzipped/wav/id10099/id10099_54_0.wav,/root/Unzipped/wav/id10116/id10116_9_0.wav
73,/root/Unzipped/wav/id10099/id10099_8_0.wav,/root/Unzipped/wav/id10099/id10099_46_1.wav,/root/Unzipped/wav/id11228/id11228_92_0.wav
74,/root/Unzipped/wav/id10099/id10099_39_2.wav,/root/Unzipped/wav/id10099/id10099_54_0_0.wav,/root/Unzipped/wav/id10071/id10071_79_1_0.wav
75,/root/Unzipped/wav/id10099/id10099_56_0.wav,/root/Unzipped/wav/id10099/id10099_12_0_0.wav,/root/Unzipped/wav/id10524/id10524_13_0.wav
76,/root/Unzipped/wav/id10099/id10099_43_1_0.wav,/root/Unzipped/wav/id10099/id10099_25_1_0.wav,/root/Unzipped/wav/id10220/id10220_69_0_0_0_0.wav
77,/root/Unzipped/wav/id10099/id10099_16_1_0.wav,/root/Unzipped/wav/id10099/id10099_24_0_0.wav,/root/Unzipped/wav/id10289/id10289_73_0.wav
78,/root/Unzipped/wav/id10099/id10099_51_0_0.wav,/root/Unzipped/wav/id10099/id10099_26_0_0.wav,/root/Unzipped/wav/id10203/id10203_188_1.wav
79,/root/Unzipped/wav/id10099/id10099_31_0_0.wav,/root/Unzipped/wav/id10099/id10099_23_1_0.wav,/root/Unzipped/wav/id10117/id10117_11_0.wav
80,/root/Unzipped/wav/id10099/id10099_32_1.wav,/root/Unzipped/wav/id10099/id10099_14_0_0.wav,/root/Unzipped/wav/id10347/id10347_58_0_0.wav
81,/root/Unzipped/wav/id10099/id10099_46_1_0.wav,/root/Unzipped/wav/id10099/id10099_40_2.wav,/root/Unzipped/wav/id11090/id11090_65_0_0_0.wav
82,/root/Unzipped/wav/id10099/id10099_53_0.wav,/root/Unzipped/wav/id10099/id10099_39_2.wav,/root/Unzipped/wav/id10057/id10057_42_1_0.wav
83,/root/Unzipped/wav/id10099/id10099_30_2_0.wav,/root/Unzipped/wav/id10099/id10099_57_0_0.wav,/root/Unzipped/wav/id10601/id10601_95_2.wav
84,/root/Unzipped/wav/id10099/id10099_0_0_0.wav,/root/Unzipped/wav/id10099/id10099_31_0.wav,/root/Unzipped/wav/id11079/id11079_25_0.wav
85,/root/Unzipped/wav/id10099/id10099_52_0_0.wav,/root/Unzipped/wav/id10099/id10099_13_1.wav,/root/Unzipped/wav/id10438/id10438_82_1_0_0.wav
86,/root/Unzipped/wav/id10099/id10099_30_2.wav,/root/Unzipped/wav/id10099/id10099_37_0.wav,/root/Unzipped/wav/id11122/id11122_140_1.wav
87,/root/Unzipped/wav/id10099/id10099_55_0.wav,/root/Unzipped/wav/id10099/id10099_25_0.wav,/root/Unzipped/wav/id10347/id10347_21_6_0.wav
88,/root/Unzipped/wav/id10099/id10099_56_1_0.wav,/root/Unzipped/wav/id10099/id10099_9_1.wav,/root/Unzipped/wav/id10410/id10410_61_0.wav
89,/root/Unzipped/wav/id10099/id10099_30_1_0.wav,/root/Unzipped/wav/id10099/id10099_48_0.wav,/root/Unzipped/wav/id11122/id11122_140_6.wav
90,/root/Unzipped/wav/id10099/id10099_50_0.wav,/root/Unzipped/wav/id10099/id10099_39_0_0.wav,/root/Unzipped/wav/id10587/id10587_36_0.wav
91,/root/Unzipped/wav/id10099/id10099_29_0.wav,/root/Unzipped/wav/id10099/id10099_54_0_0.wav,/root/Unzipped/wav/id10938/id10938_21_1.wav
92,/root/Unzipped/wav/id10099/id10099_14_0_0.wav,/root/Unzipped/wav/id10099/id10099_34_0.wav,/root/Unzipped/wav/id10716/id10716_32_1.wav
93,/root/Unzipped/wav/id10099/id10099_36_0_0.wav,/root/Unzipped/wav/id10099/id10099_36_0_0.wav,/root/Unzipped/wav/id10914/id10914_1_0.wav
94,/root/Unzipped/wav/id10099/id10099_43_0.wav,/root/Unzipped/wav/id10099/id10099_32_0_0.wav,/root/Unzipped/wav/id10819/id10819_21_1.wav
95,/root/Unzipped/wav/id10099/id10099_49_0_0.wav,/root/Unzipped/wav/id10099/id10099_42_1.wav,/root/Unzipped/wav/id10182/id10182_75_5_0_0_0.wav
96,/root/Unzipped/wav/id10099/id10099_13_1_0.wav,/root/Unzipped/wav/id10099/id10099_39_0_0.wav,/root/Unzipped/wav/id11216/id11216_124_5_0.wav
97,/root/Unzipped/wav/id10099/id10099_28_0.wav,/root/Unzipped/wav/id10099/id10099_3_0.wav,/root/Unzipped/wav/id10049/id10049_9_3.wav
98,/root/Unzipped/wav/id10099/id10099_7_0.wav,/root/Unzipped/wav/id10099/id10099_56_0_0.wav,/root/Unzipped/wav/id10116/id10116_59_0.wav
99,/root/Unzipped/wav/id10099/id10099_6_0.wav,/root/Unzipped/wav/id10099/id10099_7_0_0.wav,/root/Unzipped/wav/id11077/id11077_95_0.wav
100,/root/Unzipped/wav/id10099/id10099_17_0.wav,/root/Unzipped/wav/id10099/id10099_40_1.wav,/root/Unzipped/wav/id10004/id10004_14_8_0.wav
101,/root/Unzipped/wav/id10099/id10099_13_1.wav,/root/Unzipped/wav/id10099/id10099_50_0_0.wav,/root/Unzipped/wav/id10601/id10601_212_3.wav
102,/root/Unzipped/wav/id10099/id10099_40_1_0.wav,/root/Unzipped/wav/id10099/id10099_19_0_0.wav,/root/Unzipped/wav/id10019/id10019_32_0.wav
103,/root/Unzipped/wav/id10099/id10099_48_0_0.wav,/root/Unzipped/wav/id10099/id10099_21_0.wav,/root/Unzipped/wav/id10083/id10083_172_1_0.wav
104,/root/Unzipped/wav/id10099/id10099_22_0.wav,/root/Unzipped/wav/id10099/id10099_56_0.wav,/root/Unzipped/wav/id10752/id10752_24_1_0.wav
105,/root/Unzipped/wav/id10099/id10099_19_0_0.wav,/root/Unzipped/wav/id10099/id10099_53_0_0.wav,/root/Unzipped/wav/id10319/id10319_58_1.wav
106,/root/Unzipped/wav/id10099/id10099_34_0.wav,/root/Unzipped/wav/id10099/id10099_56_1_0.wav,/root/Unzipped/wav/id10019/id10019_30_1.wav
107,/root/Unzipped/wav/id10099/id10099_53_1.wav,/root/Unzipped/wav/id10099/id10099_19_0_0.wav,/root/Unzipped/wav/id10914/id10914_76_0.wav
108,/root/Unzipped/wav/id10099/id10099_17_0_0.wav,/root/Unzipped/wav/id10099/id10099_46_1_0.wav,/root/Unzipped/wav/id10087/id10087_49_0.wav
109,/root/Unzipped/wav/id10099/id10099_19_0.wav,/root/Unzipped/wav/id10099/id10099_44_0_0.wav,/root/Unzipped/wav/id10069/id10069_37_0.wav
110,/root/Unzipped/wav/id10099/id10099_39_1.wav,/root/Unzipped/wav/id10099/id10099_53_1.wav,/root/Unzipped/wav/id10057/id10057_42_4_0.wav
111,/root/Unzipped/wav/id10099/id10099_54_0_0.wav,/root/Unzipped/wav/id10099/id10099_49_0_0.wav,/root/Unzipped/wav/id10438/id10438_15_0_0.wav
112,/root/Unzipped/wav/id10099/id10099_7_0_0.wav,/root/Unzipped/wav/id10099/id10099_41_0_0.wav,/root/Unzipped/wav/id10324/id10324_73_4.wav
113,/root/Unzipped/wav/id10099/id10099_40_1.wav,/root/Unzipped/wav/id10099/id10099_20_0_0.wav,/root/Unzipped/wav/id10281/id10281_77_2.wav
114,/root/Unzipped/wav/id10099/id10099_3_0_0.wav,/root/Unzipped/wav/id10099/id10099_6_0.wav,/root/Unzipped/wav/id10988/id10988_13_0_0.wav
115,/root/Unzipped/wav/id10099/id10099_42_0_0.wav,/root/Unzipped/wav/id10099/id10099_43_1.wav,/root/Unzipped/wav/id11235/id11235_30_1.wav
116,/root/Unzipped/wav/id10099/id10099_49_1.wav,/root/Unzipped/wav/id10099/id10099_48_0.wav,/root/Unzipped/wav/id10083/id10083_83_3_0.wav
117,/root/Unzipped/wav/id10099/id10099_1_0_0.wav,/root/Unzipped/wav/id10099/id10099_39_2_0.wav,/root/Unzipped/wav/id10132/id10132_3_0.wav
118,/root/Unzipped/wav/id10099/id10099_51_1.wav,/root/Unzipped/wav/id10099/id10099_51_1.wav,/root/Unzipped/wav/id10802/id10802_51_0.wav
119,/root/Unzipped/wav/id10099/id10099_26_0_0.wav,/root/Unzipped/wav/id10099/id10099_37_0.wav,/root/Unzipped/wav/id10802/id10802_44_2.wav
120,/root/Unzipped/wav/id10099/id10099_32_1_0.wav,/root/Unzipped/wav/id10099/id10099_3_2_0.wav,/root/Unzipped/wav/id10881/id10881_94_1_0.wav
121,/root/Unzipped/wav/id10099/id10099_16_0_0.wav,/root/Unzipped/wav/id10099/id10099_4_0.wav,/root/Unzipped/wav/id10410/id10410_55_0.wav
122,/root/Unzipped/wav/id10099/id10099_53_0_0.wav,/root/Unzipped/wav/id10099/id10099_42_1_0.wav,/root/Unzipped/wav/id10539/id10539_146_1_0.wav
123,/root/Unzipped/wav/id10099/id10099_18_0_0.wav,/root/Unzipped/wav/id10099/id10099_43_1_0.wav,/root/Unzipped/wav/id10182/id10182_26_0_0_0_0.wav
124,/root/Unzipped/wav/id10099/id10099_30_0.wav,/root/Unzipped/wav/id10099/id10099_3_0_0.wav,/root/Unzipped/wav/id10724/id10724_97_0.wav
125,/root/Unzipped/wav/id10099/id10099_29_0_0.wav,/root/Unzipped/wav/id10099/id10099_16_1_0.wav,/root/Unzipped/wav/id10878/id10878_63_7.wav
126,/root/Unzipped/wav/id10099/id10099_36_1_0.wav,/root/Unzipped/wav/id10099/id10099_15_0.wav,/root/Unzipped/wav/id10049/id10049_66_2.wav
127,/root/Unzipped/wav/id10099/id10099_37_0_0.wav,/root/Unzipped/wav/id10099/id10099_46_1_0.wav,/root/Unzipped/wav/id10302/id10302_130_0.wav
128,/root/Unzipped/wav/id10099/id10099_3_1.wav,/root/Unzipped/wav/id10099/id10099_12_0_0.wav,/root/Unzipped/wav/id10087/id10087_40_0.wav
129,/root/Unzipped/wav/id10099/id10099_16_2.wav,/root/Unzipped/wav/id10099/id10099_35_0.wav,/root/Unzipped/wav/id10724/id10724_100_0.wav
130,/root/Unzipped/wav/id10099/id10099_30_0_0.wav,/root/Unzipped/wav/id10099/id10099_21_0_0.wav,/root/Unzipped/wav/id10117/id10117_25_2.wav
131,/root/Unzipped/wav/id10099/id10099_46_1.wav,/root/Unzipped/wav/id10099/id10099_16_1.wav,/root/Unzipped/wav/id11122/id11122_138_0.wav
132,/root/Unzipped/wav/id10099/id10099_23_0.wav,/root/Unzipped/wav/id10099/id10099_56_0.wav,/root/Unzipped/wav/id10819/id10819_17_1.wav
133,/root/Unzipped/wav/id10099/id10099_10_0.wav,/root/Unzipped/wav/id10099/id10099_42_1.wav,/root/Unzipped/wav/id11039/id11039_35_1.wav
134,/root/Unzipped/wav/id10099/id10099_39_1_0.wav,/root/Unzipped/wav/id10099/id10099_27_0_0.wav,/root/Unzipped/wav/id10057/id10057_63_0_0.wav
135,/root/Unzipped/wav/id10099/id10099_33_0_0.wav,/root/Unzipped/wav/id10099/id10099_46_1_0.wav,/root/Unzipped/wav/id11217/id11217_39_0.wav
136,/root/Unzipped/wav/id10099/id10099_51_1_0.wav,/root/Unzipped/wav/id10099/id10099_32_1_0.wav,/root/Unzipped/wav/id10117/id10117_35_1.wav
137,/root/Unzipped/wav/id10099/id10099_5_0.wav,/root/Unzipped/wav/id10099/id10099_30_0.wav,/root/Unzipped/wav/id10601/id10601_150_1.wav
138,/root/Unzipped/wav/id10099/id10099_34_0_0.wav,/root/Unzipped/wav/id10099/id10099_43_1_0.wav,/root/Unzipped/wav/id10437/id10437_83_1.wav
139,/root/Unzipped/wav/id10099/id10099_40_2_0.wav,/root/Unzipped/wav/id10099/id10099_41_0_0.wav,/root/Unzipped/wav/id10587/id10587_71_0.wav
140,/root/Unzipped/wav/id10099/id10099_9_1.wav,/root/Unzipped/wav/id10099/id10099_44_0_0.wav,/root/Unzipped/wav/id11051/id11051_50_2_0_0_0.wav
141,/root/Unzipped/wav/id10099/id10099_58_0_0.wav,/root/Unzipped/wav/id10099/id10099_21_0.wav,/root/Unzipped/wav/id10996/id10996_246_1_0.wav
142,/root/Unzipped/wav/id10099/id10099_13_0_0.wav,/root/Unzipped/wav/id10099/id10099_53_1.wav,/root/Unzipped/wav/id10089/id10089_100_0.wav
143,/root/Unzipped/wav/id10099/id10099_54_0.wav,/root/Unzipped/wav/id10099/id10099_52_0.wav,/root/Unzipped/wav/id11005/id11005_33_2_0.wav
144,/root/Unzipped/wav/id10099/id10099_27_0_0.wav,/root/Unzipped/wav/id10099/id10099_0_0_0.wav,/root/Unzipped/wav/id10988/id10988_29_4_0.wav
145,/root/Unzipped/wav/id10099/id10099_23_1.wav,/root/Unzipped/wav/id10099/id10099_40_1.wav,/root/Unzipped/wav/id10438/id10438_88_0_0_0.wav
146,/root/Unzipped/wav/id10099/id10099_58_0.wav,/root/Unzipped/wav/id10099/id10099_4_0.wav,/root/Unzipped/wav/id10203/id10203_380_6.wav
147,/root/Unzipped/wav/id10099/id10099_57_0.wav,/root/Unzipped/wav/id10099/id10099_52_1.wav,/root/Unzipped/wav/id10498/id10498_8_1.wav
148,/root/Unzipped/wav/id10099/id10099_39_0.wav,/root/Unzipped/wav/id10099/id10099_32_1.wav,/root/Unzipped/wav/id10638/id10638_24_1.wav
149,/root/Unzipped/wav/id10099/id10099_43_1.wav,/root/Unzipped/wav/id10099/id10099_50_0_0.wav,/root/Unzipped/wav/id10802/id10802_7_0.wav
150,/root/Unzipped/wav/id10099/id10099_41_0_0.wav,/root/Unzipped/wav/id10099/id10099_31_0.wav,/root/Unzipped/wav/id10281/id10281_41_0.wav
151,/root/Unzipped/wav/id10099/id10099_40_2.wav,/root/Unzipped/wav/id10099/id10099_44_0.wav,/root/Unzipped/wav/id10170/id10170_84_0.wav
152,/root/Unzipped/wav/id10099/id10099_42_0.wav,/root/Unzipped/wav/id10099/id10099_49_0.wav,/root/Unzipped/wav/id10410/id10410_58_1.wav
153,/root/Unzipped/wav/id10099/id10099_15_0.wav,/root/Unzipped/wav/id10099/id10099_26_0_0.wav,/root/Unzipped/wav/id11216/id11216_37_2_0.wav
154,/root/Unzipped/wav/id10099/id10099_44_0_0.wav,/root/Unzipped/wav/id10099/id10099_36_0.wav,/root/Unzipped/wav/id11077/id11077_203_0.wav
155,/root/Unzipped/wav/id10099/id10099_52_1.wav,/root/Unzipped/wav/id10099/id10099_42_1.wav,/root/Unzipped/wav/id11090/id11090_16_0_0_0.wav
156,/root/Unzipped/wav/id10099/id10099_52_1_0.wav,/root/Unzipped/wav/id10099/id10099_40_2_0.wav,/root/Unzipped/wav/id10819/id10819_61_0.wav
157,/root/Unzipped/wav/id10099/id10099_45_0_0.wav,/root/Unzipped/wav/id10099/id10099_33_0_0.wav,/root/Unzipped/wav/id10352/id10352_293_1.wav
158,/root/Unzipped/wav/id10099/id10099_15_0_0.wav,/root/Unzipped/wav/id10099/id10099_52_0.wav,/root/Unzipped/wav/id10551/id10551_25_3.wav
159,/root/Unzipped/wav/id10099/id10099_21_0.wav,/root/Unzipped/wav/id10099/id10099_14_0.wav,/root/Unzipped/wav/id10724/id10724_45_7.wav
160,/root/Unzipped/wav/id10099/id10099_9_0_0.wav,/root/Unzipped/wav/id10099/id10099_36_1.wav,/root/Unzipped/wav/id11143/id11143_35_0.wav
161,/root/Unzipped/wav/id10099/id10099_4_0_0.wav,/root/Unzipped/wav/id10099/id10099_17_0_0.wav,/root/Unzipped/wav/id10049/id10049_4_0.wav
